(-1.6, -5.5)[[  -1.           -1.97506751 -891.58119343 -233.18260427]]
(-1.6, -5.4)[[  -1.           -1.9850671  -864.95040462 -230.41514595]]
(-1.6, -5.3)[[  -1.           -1.99545573 -838.72858153 -227.65523588]]
(-1.6, -5.2)[[  -1.           -2.00625667 -812.91562653 -224.90331972]]
(-1.6, -5.1)[[  -1.           -2.0174951  -787.5114342  -222.15987929]]
(-1.6, -5.0)[[  -1.           -2.02919833 -762.51589055 -219.42543631]]
(-1.6, -4.9)[[  -1.           -2.04139598 -737.92887211 -216.70055669]]
(-1.6, -4.8)[[  -1.           -2.05412026 -713.75024495 -213.98585538]]
(-1.6, -4.7)[[  -1.           -2.0674063  -689.97986353 -211.28200184]]
(-1.6, -4.6)[[  -1.           -2.08129241 -666.61756944 -208.58972629]]
(-1.6, -4.5)[[  -1.           -2.09582051 -643.66318993 -205.90982687]]
(-1.6, -4.4)[[  -1.           -2.11103656 -621.11653626 -203.24317781]]
(-1.6, -4.3)[[  -1.           -2.12699106 -598.97740179 -200.59073891]]
(-1.6, -4.2)[[  -1.           -2.14373961 -577.24555986 -197.95356632]]
(-1.6, -4.1)[[  -1.           -2.16134361 -555.92076125 -195.33282526]]
(-1.6, -4.0)[[  -1.           -2.17987104 -535.00273128 -192.72980459]]
(-1.6, -3.9)[[  -1.           -2.19939736 -514.49116656 -190.145934  ]]
(-1.6, -3.8)[[  -1.           -2.22000658 -494.38573104 -187.58280413]]
(-1.6, -3.7)[[  -1.           -2.24179255 -474.68605152 -185.04219028]]
(-1.6, -3.6)[[  -1.           -2.26486043 -455.39171233 -182.52608051]]
(-1.6, -3.5)[[  -1.           -2.28932853 -436.5022491  -180.03670924]]
(-1.6, -3.4)[[  -1.           -2.31533039 -418.01714131 -177.57659734]]
(-1.6, -3.3)[[  -1.           -2.34301741 -399.93580355 -175.1486007 ]]
(-1.6, -3.2)[[  -1.           -2.37256197 -382.2575749  -172.75596904]]
(-1.6, -3.1)[[  -1.           -2.40416128 -364.98170632 -170.40241798]]
(-1.6, -3.0)[[  -1.           -2.43804211 -348.10734511 -168.09221774]]
(-1.6, -2.9)[[  -1.           -2.47446665 -331.63351624 -165.83030358]]
(-1.6, -2.8)[[  -1.           -2.51373989 -315.55909912 -163.62241416]]
(-1.6, -2.7)[[  -1.           -2.55621894 -299.88279889 -161.47526695]]
(-1.6, -2.6)[[  -1.           -2.60232493 -284.60311046 -159.39678291]]
(-1.6, -2.5)[[  -1.           -2.65255849 -269.718273   -157.39637768]]
(-1.6, -2.4)[[  -1.           -2.70751998 -255.22621172 -155.48534403]]
(-1.6, -2.3)[[  -1.           -2.76793641 -241.12446256 -153.67736164]]
(-1.6, -2.2)[[  -1.           -2.83469789 -227.41007325 -151.98918759]]
(-1.6, -2.1)[[  -1.           -2.90890778 -214.07947157 -150.44160905]]
(-1.6, -2.0)[[  -1.           -2.99195311 -201.12828681 -149.06078501]]
(-1.6, -1.9)[[  -1.           -3.08560597 -188.55110291 -147.88018107]]
(-1.6, -1.8)[[  -1.           -3.19217315 -176.34110991 -146.94343569]]
(-1.6, -1.7)[[  -1.           -3.31472421 -164.48959853 -146.3087418 ]]
(-1.6, -1.6)[[  -1.          -3.457452  -152.9852053 -146.0557969]]
(-1.6, -1.5)[[  -1.           -3.62626786 -141.81274405 -146.29732343]]
(-1.6, -1.4)[[  -1.           -3.82983804 -130.95131732 -147.19921439]]
(-1.6, -1.3)[[  -1.           -4.0815117  -120.37109667 -149.01818334]]
(-1.6, -1.2)[[  -1.           -4.40322411 -110.0274479  -152.17837506]]
(-1.6, -1.1)[[  -1.           -4.83434199  -99.84920432 -157.44593644]]
(-1.6, -1.0)[[  -1.           -5.45516221  -89.71212986 -166.39560573]]
(-1.6, -0.9)[[  -1.           -6.46673657  -79.36624825 -183.00638403]]
(-1.6, -0.8)[[  -1.           -8.6186272   -68.15612335 -222.27942723]]
(-1.6, -0.7)[[  -1.          -27.91492824  -51.8086438  -610.44676185]]
(-1.6, -0.6)[[ 1.          2.53592563 -7.53732023 17.16319829]]
(-1.6, -0.5)[[ 1.          2.2353903  -8.30300691 10.59648473]]
(-1.6, -0.4)[[ 1.          2.10970067 -8.74956864  7.81339802]]
(-1.6, -0.3)[[ 1.          2.04064384 -9.02339061  6.29574964]]
(-1.6, -0.2)[[ 1.          2.00041101 -9.18766973  5.43422277]]
(-1.6, -0.1)[[ 1.          1.97894258 -9.27530809  5.00261228]]
(-1.6, 0.0)[[ 1.          1.97216371 -9.30282939  4.90746858]]
(-1.6, 0.1)[[ 1.          1.97894258 -9.27530809  5.12256111]]
(-1.6, 0.2)[[ 1.          2.00041101 -9.18766973  5.67412043]]
(-1.6, 0.3)[[ 1.          2.04064384 -9.02339061  6.65559613]]
(-1.6, 0.4)[[ 1.          2.10970067 -8.74956864  8.29319335]]
(-1.6, 0.5)[[ 1.          2.2353903  -8.30300691 11.19622889]]
(-1.6, 0.6)[[ 1.          2.53592563 -7.53732023 17.88289129]]
(-1.6, 0.7)[[  -1.          -27.91492824  -51.8086438  -609.60712   ]]
(-1.6, 0.8)[[  -1.           -8.6186272   -68.15612335 -221.31983658]]
(-1.6, 0.9)[[  -1.           -6.46673657  -79.36624825 -181.92684454]]
(-1.6, 1.0)[[  -1.           -5.45516221  -89.71212986 -165.19611741]]
(-1.6, 1.1)[[  -1.           -4.83434199  -99.84920432 -156.12649928]]
(-1.6, 1.2)[[  -1.           -4.40322411 -110.0274479  -150.73898907]]
(-1.6, 1.3)[[  -1.           -4.0815117  -120.37109667 -147.45884852]]
(-1.6, 1.4)[[  -1.           -3.82983804 -130.95131732 -145.51993073]]
(-1.6, 1.5)[[  -1.           -3.62626786 -141.81274405 -144.49809095]]
(-1.6, 1.6)[[  -1.           -3.457452   -152.9852053  -144.13661558]]
(-1.6, 1.7)[[  -1.           -3.31472421 -164.48959853 -144.26961165]]
(-1.6, 1.8)[[  -1.           -3.19217315 -176.34110991 -144.78435671]]
(-1.6, 1.9)[[  -1.           -3.08560597 -188.55110291 -145.60115326]]
(-1.6, 2.0)[[  -1.           -2.99195311 -201.12828681 -146.66180836]]
(-1.6, 2.1)[[  -1.           -2.90890778 -214.07947158 -147.92268357]]
(-1.6, 2.2)[[  -1.           -2.83469789 -227.41007325 -149.35031328]]
(-1.6, 2.3)[[  -1.           -2.76793641 -241.12446256 -150.9185385 ]]
(-1.6, 2.4)[[  -1.           -2.70751998 -255.22621172 -152.60657206]]
(-1.6, 2.5)[[  -1.           -2.65255849 -269.718273   -154.39765687]]
(-1.6, 2.6)[[  -1.           -2.60232493 -284.60311046 -156.27811327]]
(-1.6, 2.7)[[  -1.           -2.55621894 -299.88279889 -158.23664847]]
(-1.6, 2.8)[[  -1.           -2.51373989 -315.55909912 -160.26384685]]
(-1.6, 2.9)[[  -1.           -2.47446665 -331.63351624 -162.35178744]]
(-1.6, 3.0)[[  -1.           -2.43804211 -348.10734511 -164.49375277]]
(-1.6, 3.1)[[  -1.           -2.40416128 -364.98170631 -166.68400417]]
(-1.6, 3.2)[[  -1.           -2.37256197 -382.25757491 -168.91760641]]
(-1.6, 3.3)[[  -1.           -2.34301741 -399.93580355 -171.19028923]]
(-1.6, 3.4)[[  -1.           -2.31533039 -418.01714131 -173.49833704]]
(-1.6, 3.5)[[  -1.           -2.28932853 -436.5022491  -175.8385001 ]]
(-1.6, 3.6)[[  -1.           -2.26486043 -455.39171233 -178.20792255]]
(-1.6, 3.7)[[  -1.           -2.24179255 -474.68605152 -180.60408348]]
(-1.6, 3.8)[[  -1.           -2.22000658 -494.38573104 -183.0247485 ]]
(-1.6, 3.9)[[  -1.           -2.19939736 -514.49116656 -185.46792954]]
(-1.6, 4.0)[[  -1.           -2.17987104 -535.00273128 -187.93185129]]
(-1.6, 4.1)[[  -1.           -2.16134361 -555.92076124 -190.41492313]]
(-1.6, 4.2)[[  -1.           -2.14373961 -577.24555986 -192.91571536]]
(-1.6, 4.3)[[  -1.           -2.12699106 -598.97740179 -195.43293911]]
(-1.6, 4.4)[[  -1.           -2.11103656 -621.11653625 -197.96542919]]
(-1.6, 4.5)[[  -1.           -2.09582051 -643.66318993 -200.51212941]]
(-1.6, 4.6)[[  -1.           -2.08129241 -666.61756944 -203.07208   ]]
